id,geography,totpop,fem18_49,per_fem,medinc,moe_medinc
36081001000,"Census Tract 10, Queens County, New York city, New York",3502,862,24.6,61900.0,8201.0
36081001200,"Census Tract 12, Queens County, New York city, New York",3871,931,24.099999999999998,63862.0,8006.0
36081001400,"Census Tract 14, Queens County, New York city, New York",3683,882,23.9,61081.0,11365.0
36081001600,"Census Tract 16, Queens County, New York city, New York",2831,702,24.8,61786.0,13165.0
36081001800,"Census Tract 18, Queens County, New York city, New York",2931,704,24.0,62895.0,14565.0
36081001900,"Census Tract 19, Queens County, New York city, New York",1076,331,30.8,117788.0,18798.0
36081002000,"Census Tract 20, Queens County, New York city, New York",1797,455,25.3,77321.0,18024.0
36081002200,"Census Tract 22, Queens County, New York city, New York",2077,513,24.7,58333.0,13047.0
36081002400,"Census Tract 24, Queens County, New York city, New York",2145,509,23.7,60506.0,7315.0
36081002500,"Census Tract 25, Queens County, New York city, New York",7571,2042,27.0,16584.0,2154.0
36081002600,"Census Tract 26, Queens County, New York city, New York",2055,457,22.2,73971.0,18443.0
36081002800,"Census Tract 28, Queens County, New York city, New York",3033,741,24.4,57457.0,12805.0
36081003000,"Census Tract 30, Queens County, New York city, New York",1399,345,24.7,41071.0,14368.0
36081003100,"Census Tract 31, Queens County, New York city, New York",1388,343,24.7,56667.0,18289.0
36081003200,"Census Tract 32, Queens County, New York city, New York",1504,367,24.4,69583.0,8225.0
36081003300,"Census Tract 33, Queens County, New York city, New York",2474,667,27.0,54025.0,6551.0
36081003400,"Census Tract 34, Queens County, New York city, New York",2201,559,25.4,74000.0,12808.0
36081003600,"Census Tract 36, Queens County, New York city, New York",3295,838,25.4,76081.0,8339.0
36081003700,"Census Tract 37, Queens County, New York city, New York",0,0,0.0,,
36081003800,"Census Tract 38, Queens County, New York city, New York",2287,574,25.1,53654.0,15849.0
36081003900,"Census Tract 39, Queens County, New York city, New York",1592,383,24.099999999999998,41287.0,5602.0
36081004001,"Census Tract 40.01, Queens County, New York city, New York",2134,537,25.2,67667.0,22830.0
36081004002,"Census Tract 40.02, Queens County, New York city, New York",1270,328,25.8,54931.0,34205.0
36081004200,"Census Tract 42, Queens County, New York city, New York",4120,1012,24.6,48839.0,2558.0
36081004300,"Census Tract 43, Queens County, New York city, New York",2437,598,24.5,18594.0,9408.0
36081004401,"Census Tract 44.01, Queens County, New York city, New York",3500,859,24.5,53333.0,7703.0
