"abi"	"coname"	"addr"	"city"	"state"	"zip"	"stcode"	"cntycd"	"prmsic"	"ssic1"	"sicd"	"pnacode"	"pnatitl"	"latitude_2010"	"longitude_2010"
"425692687"	"CAFE NOAI"	"1465 2ND AVE # 76"	"NEW YORK"	"NY"	"10075"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7717	-73.9564
"422233545"	"CAFE SHALVA"	"1305 53RD ST"	"BROOKLYN"	"NY"	"11219"	"36"	"047"	"581228"	"581214"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6327	-73.9941
"705373037"	"CAFFE BENE"	"4131 QUEENS BLVD"	"SUNNYSIDE"	"NY"	"11104"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7439	-73.9226
"427929440"	"CAFFE BENE"	"15814 NORTHERN BLVD # ML4"	"FLUSHING"	"NY"	"11358"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7629	-73.8068
"425252031"	"CAFFEINE FIX"	"14940 41ST AVE"	"FLUSHING"	"NY"	"11355"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7622	-73.8143
"680073624"	"CAFFE PALERMO"	"148 MULBERRY ST"	"NEW YORK"	"NY"	"10013"	"36"	"061"	"581228"	"581214"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.719	-73.9973
"436689644"	"CAFFINO"	"2918 CRESCENT ST"	"ASTORIA"	"NY"	"11102"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7691	-73.9249
"633448485"	"CALESTO COFFEE SHOP"	"4604 3RD AVE"	"BROOKLYN"	"NY"	"11220"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.65	-74.0128
"698506979"	"CARNIVAL LATIN BISTRO CORP"	"4325 BROADWAY"	"NEW YORK"	"NY"	"10033"	"36"	"061"	"581228"	"581220"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8525	-73.9347
"378645402"	"CASA JAVA"	"625 8TH AVE # 112"	"NEW YORK"	"NY"	"10018"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7562	-73.9907
"428101311"	"CASELLA BAGEL COFFEE SHOP"	"66 WILLOUGHBY ST"	"BROOKLYN"	"NY"	"11201"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.692	-73.9861
"403836090"	"C & C DELI COFFEE SHOP"	"2438 EASTCHESTER RD"	"BRONX"	"NY"	"10469"	"36"	"005"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8623	-73.8428
"428100041"	"CHAITTY COFFEE SHOP"	"392 HALSEY ST"	"BROOKLYN"	"NY"	"11216"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6831	-73.9382
"659041883"	"CHAPINES BAKERY"	"1858 CORNAGA AVE"	"FAR ROCKAWAY"	"NY"	"11691"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6025	-73.7517
"706008418"	"CHATIME"	"8121 BROADWAY"	"ELMHURST"	"NY"	"11373"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7433	-73.8835
"705155688"	"CHEAP COFFEE LLC"	"414 8TH ST"	"BROOKLYN"	"NY"	"11215"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6673	-73.9806
"422292356"	"CHIPPED CUP"	"3610 BROADWAY"	"NEW YORK"	"NY"	"10031"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8286	-73.9486
"206082513"	"CHOCOLATE BAR EAST VILLAGE INC"	"19 8TH AVE"	"NEW YORK"	"NY"	"10014"	"36"	"061"	"581228"	"581208"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7378	-74.0048
"426309232"	"CHOCOLATTE"	"792 EASTERN PKWY"	"BROOKLYN"	"NY"	"11213"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6689	-73.942
"222149163"	"CHRIS'S COFFEE SHOP"	"900 E 149TH ST"	"BRONX"	"NY"	"10455"	"36"	"005"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8102	-73.9034
"705253824"	"CIBUCAN COFFEE"		"DOUGLASTON"	"NY"	"11362"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.76	-73.7315
"436288400"	"CITY OF SAINTS COFFEE ROASTERS"	"79 E 10TH ST"	"NEW YORK"	"NY"	"10003"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7312	-73.99
"388478141"	"CITY PERK"	"7 W 34TH ST"	"NEW YORK"	"NY"	"10001"	"36"	"061"	"581228"	"919904"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7492	-73.9852
"578837163"	"CLAUDIA'S COFFEE SHOP"	"125 BROAD ST"	"NEW YORK"	"NY"	"10004"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7023	-74.0106
